Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j);
;;;;;;;;;Depósito Total;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Outros Depósitos (a5);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;;
BB;49906;b1;;C;1;BRASILIA;DF;12/2009;55.984.294;75.741.590;10.709.735;169.257.690;13.923.461;325.616.771;148.847.592;0;0;0;2.571.342;0;2.571.342;34.094.647;511.130.351;2.183.155;102.598.270;615.911.776;248.912;36.119.381;652.280.069
ITAU;10069;b1;;C;2;SAO PAULO;SP;12/2009;26.187.681;48.221.550;3.011.307;119.558.044;1.255.924;198.234.506;135.819.618;5.869.466;2.283.044;0;5.615.965;1.368.301;15.136.775;34.106.026;383.296.925;5.475.110;145.083.613;533.855.648;157.590;51.589.860;585.603.098
BRADESCO;10045;b1;;C;2;OSASCO;SP;12/2009;34.732.520;45.113.274;1.190.855;91.314.539;1.087.715;173.438.904;117.431.841;0;1.585.957;0;4.281.028;1.639.050;7.506.035;27.330.006;325.706.787;536.675;75.994.732;402.238.194;240.988;41.917.596;444.396.778
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;12/2009;0;0;3.258.834;0;22.971.094;26.229.928;13.740.763;0;0;0;0;0;0;164.619.247;204.589.938;237.273;146.824.683;351.651.895;0;27.628.046;379.279.940
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;12/2009;16.709.449;108.709.642;29.111;43.788.754;11.432.766;180.669.721;65.036.181;1.961.912;0;0;0;513.528;2.475.441;41.119.504;289.300.846;982;39.386.227;328.688.055;0;13.143.767;341.831.823
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;12/2009;14.820.696;25.216.924;764.266;72.126.587;615.102;113.543.575;34.810.876;5.985.385;1.231.260;0;2.591.162;469.724;10.277.531;21.203.002;179.834.984;4.411.515;84.740.603;268.987.101;145.556;64.936.705;334.069.363
HSBC;51152;b1;;C;3;CURITIBA;PR;12/2009;7.691.791;3.004.190;1.865.719;53.214.646;131.628;65.907.974;2.062.441;808.556;0;0;544.594;0;1.353.150;3.401.484;72.725.049;1.122.559;19.049.495;92.897.103;0;7.207.378;100.104.481
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;12/2009;134.794;0;1.741.042;22.599.913;1.672;24.477.420;24.767.468;106.311;1.818.265;0;1.394.800;2.951.118;6.270.493;7.302.755;62.818.137;6.599.567;10.342.479;79.760.183;34.919;7.145.467;86.940.569
SAFRA;10083;b1;;C;2;SAO PAULO;SP;12/2009;1.211.389;928.429;2.893.093;8.631.430;47.187;13.711.528;25.336.845;0;169.713;0;1.344.381;22.065;1.536.159;7.005.946;47.590.478;5.545.687;12.994.171;66.130.336;22.629;4.906.545;71.059.510
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;12/2009;3.362.006;452.700;214.578;8.372.689;170.442;12.572.415;1.649.262;0;296.638;0;0;0;296.638;2.763.036;17.281.351;1.339.922;17.143.697;35.764.970;16.848;5.065.157;40.846.974
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;12/2009;2.107.697;5.636.799;89.968;8.710.471;13.503;16.558.439;2.006.497;0;0;0;0;0;0;1.481.680;20.046.616;46.972;5.767.649;25.861.237;4.495;3.409.285;29.275.017
BTG PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;12/2009;1.278.263;0;217.776;4.091.963;7.488;5.595.490;9.056.616;75.562;254.647;0;0;0;330.210;47.947;15.030.262;931.601;2.730.375;18.692.238;8.397;3.244.500;21.945.135
CREDIT SUISSE;30771;b1;;C;3;SAO PAULO;SP;12/2009;189.240;0;262.252;2.516.290;11.773;2.979.554;8.067.005;56.862;0;0;0;0;56.862;2.644.790;13.748.211;741.817;3.808.429;18.298.457;11.435;2.952.480;21.262.372
DEUTSCHE;51183;b1;;C;3;SAO PAULO;SP;12/2009;388.469;0;319.556;662.325;5;1.370.355;124.105;0;0;0;936.381;0;936.381;1.742.346;4.173.187;1.128.886;14.504.800;19.806.874;2.419;913.458;20.722.750
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;12/2009;135.837;1.381.500;384.772;3.463.601;967.017;6.332.727;445.678;0;0;0;0;0;0;2.856.597;9.635.002;36.570;7.410.155;17.081.727;14;2.072.725;19.154.466
BANCO VOLKSWAGEN S.A.;59109165;b2;;I;3;SAO PAULO;SP;12/2009;0;0;4.653.461;1.049.877;0;5.703.337;0;0;0;0;0;0;0;4.999.494;10.702.831;0;4.219.151;14.921.982;143.086;1.583.096;16.648.164
