Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior;
BB;49.906;b1;C;1;;199;BRASILIA;DF;12/2013;567.342.968;309.886.068;76.320.637;99.449.035;18.990.303;3.297.448;7.099.759;2.549.125;2.221.604;12.454.188;35.074.802
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;12/2013;487.574.478;54.718.510;267.307.654;57.862.877;71.810.964;12.132.792;5.087.507;2.082.293;1.764.375;14.807.505;0
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;12/2013;427.634.980;145.102.333;101.111.914;24.684.600;14.056.035;6.096.497;3.128.142;2.523.584;2.869.410;12.487.850;115.574.615
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;12/2013;350.645.970;39.347.841;119.555.201;58.224.848;44.961.189;6.252.418;3.137.032;2.006.895;1.636.701;10.498.933;65.024.913
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;;4;RIO DE JANEIRO;RJ;12/2013;280.645.850;104.533.658;105.543.786;59.957.509;9.156.291;352.978;727.246;0;5.910;368.472;0
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;12/2013;227.051.699;42.838.485;106.825.044;19.539.736;14.199.340;5.156.181;2.411.805;3.789.472;1.423.004;8.231.449;22.637.184
HSBC;51.152;b1;C;3;;199;CURITIBA;PR;12/2013;63.018.794;24.422.241;19.774.992;5.805.856;1.326.958;783.911;328.105;396.836;513.017;2.375.785;7.291.094
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;12/2013;58.583.884;4.044.164;29.309.926;9.026.378;7.813.019;1.380.872;706.673;698.037;1.329.252;2.210.946;2.064.618
SAFRA;10.083;b1;C;2;;199;SAO PAULO;SP;12/2013;54.237.776;32.189.538;8.373.625;2.476.410;977.020;331.179;230.622;125.516;71.603;811.752;8.650.511
BANRISUL;30.173;b1;C;1;;199;PORTO ALEGRE;RS;12/2013;25.572.517;3.677.781;9.604.997;5.631.776;3.918.287;1.075.286;354.643;325.046;90.324;724.126;170.252
CITIBANK;30.403;b1;C;3;;199;SAO PAULO;SP;12/2013;23.741.852;5.139.437;10.180.342;3.499.762;1.420.565;1.278.363;366.197;309.921;227.900;1.319.365;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;;8;SAO PAULO;SP;12/2013;22.110.574;708.352;14.865.314;3.403.895;1.814.533;328.868;314.404;93.101;90.640;491.466;0
BMG;30.290;b1;C;2;;199;SAO PAULO;SP;12/2013;20.136.508;0;17.980.764;754.780;344.775;211.497;144.519;130.958;109.880;459.336;0
