Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Sudeste;Centro-oeste;Nordeste;Norte;Sul;Região não Informada;Total Exterior;
BB;49.906;b1;C;1;;199;BRASILIA;DF;12/2015;705.255.067;117.452.597;331.440.983;77.505.986;29.263.796;80.526.503;2.007.121;67.058.082
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;12/2015;673.708.539;124.268.389;335.481.380;104.476.869;27.790.637;79.969.334;1.721.929;0
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;12/2015;538.694.716;47.236.798;218.505.462;41.064.136;11.317.565;20.542.142;7.092.836;192.935.777
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;12/2015;434.977.483;45.139.292;173.734.790;43.347.368;14.244.363;24.758.615;6.467.789;127.285.265
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;;4;RIO DE JANEIRO;RJ;12/2015;391.671.844;27.524.386;240.050.243;45.132.825;6.395.047;35.304.231;37.265.113;0
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;12/2015;260.218.400;32.246.380;148.241.607;21.814.436;5.350.774;14.431.770;1.855.658;36.277.774
HSBC;51.152;b1;C;3;;199;CURITIBA;PR;12/2015;71.483.400;14.005.924;33.591.929;4.950.185;2.147.352;5.523.033;1.237.309;10.027.668
BTG PACTUAL;49.944;b1;C;2;;199;RIO DE JANEIRO;RJ;12/2015;66.123.684;420.461;5.150.259;313.185;541;2.825.668;20.871;57.392.699
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;12/2015;51.546.602;9.619.513;25.505.935;7.687.963;1.830.497;3.700.282;433.538;2.768.873
SAFRA;10.083;b1;C;2;;199;SAO PAULO;SP;12/2015;49.648.872;6.403.864;24.044.399;3.660.410;1.057.938;3.112.294;564.453;10.805.514
BANRISUL;30.173;b1;C;1;;199;PORTO ALEGRE;RS;12/2015;31.138.785;24.616.669;4.142.372;1.082.770;370.981;445.549;210.327;270.116
CITIBANK;30.403;b1;C;3;;199;SAO PAULO;SP;12/2015;21.088.345;3.133.103;15.221.509;1.135.144;665.724;833.094;99.770;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;;8;SAO PAULO;SP;12/2015;18.007.756;3.833.105;7.960.080;3.375.430;1.123.848;1.703.066;12.226;0
PAN;31.323;b1;C;2;;199;SAO PAULO;SP;12/2015;17.317.364;2.109.985;8.480.603;2.981.852;1.183.527;2.346.443;214.953;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;;8;SAO PAULO;SP;12/2015;16.189.739;1.593.935;5.499.709;1.374.256;51.467;7.670.371;0;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;;11;PORTO ALEGRE;RS;12/2015;14.573.332;10.643.975;47.047;3.954;47.065;3.824.076;7.216;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;;8;FORTALEZA;CE;12/2015;13.838.841;95.923;2.465.544;10.505.645;127.097;595.646;48.987;0
DAYCOVAL;51.987;b1;C;2;;199;SAO PAULO;SP;12/2015;13.678.525;1.817.772;7.129.516;2.341.694;642.607;1.521.751;81.373;143.811
ABC-BRASIL;41.856;b1;C;3;;199;SAO PAULO;SP;12/2015;12.523.337;1.843.611;5.275.382;642.679;183.173;827.462;247;3.750.783
