Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior;
BB;49.906;b1;C;1;;199;BRASILIA;DF;12/2012;474.317.973;137.375.160;92.605.873;149.473.522;30.722.088;7.942.163;3.417.891;1.547.790;1.878.497;10.907.263;38.447.726
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;12/2012;376.183.861;100.925.754;120.458.416;26.201.846;18.950.169;10.998.248;3.851.118;3.135.561;2.869.410;14.516.271;74.277.067
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;12/2012;353.766.826;32.699.385;177.012.448;52.703.397;62.542.788;10.496.157;2.545.334;1.707.734;1.259.742;12.799.842;0
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;12/2012;318.342.765;34.435.817;106.854.454;39.883.500;53.163.895;7.210.173;2.714.345;2.016.633;1.772.686;10.693.666;59.597.596
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;;4;RIO DE JANEIRO;RJ;12/2012;252.450.109;90.441.556;120.823.584;31.970.266;8.064.374;207.282;595.099;19.210;76.009;252.730;0
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;12/2012;211.042.869;32.886.356;107.284.534;17.607.085;13.185.894;4.761.581;2.496.098;3.940.747;1.572.165;8.290.809;19.017.599
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;12/2012;64.778.401;7.545.745;35.932.331;8.068.210;5.278.512;1.432.793;1.052.175;537.183;590.640;2.685.527;1.655.285
HSBC;51.152;b1;C;3;;199;CURITIBA;PR;12/2012;58.861.494;21.301.323;18.735.113;5.141.920;2.239.893;753.976;445.918;369.938;533.894;2.384.465;6.955.054
SAFRA;10.083;b1;C;2;;199;SAO PAULO;SP;12/2012;48.609.389;26.984.650;10.103.484;1.850.261;1.561.648;740.922;270.163;255.881;132.161;916.067;5.794.153
BMG;30.290;b1;C;2;;199;BELO HORIZONTE;MG;12/2012;24.240.449;0;21.945.635;864.024;289.279;216.879;112.214;129.282;97.268;585.868;0
CITIBANK;30.403;b1;C;3;;199;SAO PAULO;SP;12/2012;22.917.349;3.999.948;10.003.774;3.729.827;1.822.417;1.151.719;347.131;312.401;243.241;1.306.890;0
BANRISUL;30.173;b1;C;1;;199;PORTO ALEGRE;RS;12/2012;22.702.492;3.239.547;10.640.093;4.197.851;2.017.611;636.368;521.163;563.032;160.462;665.438;60.928
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;;8;SAO PAULO;SP;12/2012;21.670.768;528.007;14.838.794;2.966.667;1.737.736;459.803;262.868;133.401;112.822;630.670;0
