Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
BB;49906;b1;;C;1;BRASILIA;DF;12/2005;5.827.663;28.944.322;66.470.116;92.280.738;-6.339.106;85.941.631;43.922;788.181;126.648;-24.412;934.338;35.159.598;25.033.788;4.792.180;253.103.636;126.648;252.976.988
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;12/2005;935.710;9.738.005;93.460.508;37.195.376;-3.772.589;33.422.786;0;0;0;0;0;8.473.101;40.401.308;2.246.243;188.677.661;0;188.677.661
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;12/2005;2.323;1.844;12.989.171;65.017.183;-4.565.712;60.451.471;0;0;0;0;0;3.377.516;80.320.846;14.284.227;171.427.399;0;171.427.399
BRADESCO;10045;b1;;C;2;OSASCO;SP;12/2005;3.300.061;25.006.158;16.428.190;72.956.449;-4.696.103;68.260.346;56.330;3.369.744;997.053;-107.059;4.316.068;19.422.766;18.280.678;11.742.864;166.757.132;997.053;165.760.079
ITAU;10069;b1;;C;2;SAO PAULO;SP;12/2005;2.057.840;22.543.806;17.942.899;46.342.375;-4.446.584;41.895.791;312.235;14.425.556;6.503.913;-233.830;21.007.874;22.527.239;15.220.293;9.349.925;152.545.666;6.503.913;146.041.753
SANTANDER BANESPA;30379;b1;;C;3;SAO PAULO;SP;12/2005;1.591.383;10.266.870;28.566.294;25.140.083;-959.836;24.180.248;93.750;476.437;117.056;-6.543;680.701;13.144.193;4.675.864;2.026.526;85.132.079;117.056;85.015.023
UNIBANCO;10100;b1;;C;2;SAO PAULO;SP;12/2005;1.138.672;13.138.928;13.356.404;34.475.886;-2.060.840;32.415.046;6.010;1.164.800;347.421;-20.917;1.497.314;12.699.760;5.942.266;4.658.501;84.846.892;347.421;84.499.471
ABN AMRO;10076;b1;;C;3;SAO PAULO;SP;12/2005;1.777.683;3.112.345;14.695.792;36.586.267;-1.707.006;34.879.261;9.475;1.420.421;383.810;-24.393;1.789.313;9.122.906;7.128.869;2.475.882;74.982.050;383.810;74.598.240
SAFRA;10083;b1;;C;2;SAO PAULO;SP;12/2005;1.523.400;8.626.440;13.836.921;16.468.504;-602.518;15.865.985;29.396;6.708.291;2.796.051;-217.912;9.315.826;2.806.287;1.487.657;689.942;54.152.458;2.796.051;51.356.407
HSBC;51152;b1;;C;3;CURITIBA;PR;12/2005;1.369.069;6.995.540;11.337.038;17.861.314;-1.533.320;16.327.994;3.717;493.786;93.016;-3.700;586.819;5.080.653;4.480.103;1.439.616;47.616.832;93.016;47.523.816
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;12/2005;26.244;12.723.308;17.418.366;11.869.766;-203.749;11.666.017;9.945;48.399;27.977;-10.361;75.960;2.680.475;1.426.852;78.844;46.096.065;27.977;46.068.088
BANCO NOSSA CAIXA S.A.;43073394;b1;;I;1;SAO PAULO;SP;12/2005;224.433;658.831;20.937.118;5.983.628;-597.358;5.386.270;0;0;0;0;0;1.147.677;4.557.554;506.936;33.418.818;0;33.418.818
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;12/2005;553.264;2.006.990;8.115.113;6.730.118;-370.220;6.359.898;266;44.857;536;-1.219;44.440;5.983.767;950.932;1.123.165;25.137.568;536;25.137.032
BANKBOSTON;30300;b1;;C;3;SAO PAULO;SP;12/2005;875.835;5.650.246;3.269.681;7.838.252;-282.844;7.555.408;65.825;518.710;56.242;-16.519;624.257;3.050.942;1.135.610;553.721;22.715.699;56.242;22.659.457
PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;12/2005;23.898;519.228;18.510.952;199.795;-9.205;190.590;0;0;0;0;0;1.499.190;17.407;58.125;20.819.390;0;20.819.390
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;12/2005;234.456;738.527;5.606.424;5.724.124;-801.049;4.923.075;149;65.851;27.206;-5.078;88.127;592.505;1.763.716;294.562;14.241.392;27.206;14.214.186
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;12/2005;37.522;659.173;7.379.829;3.797.476;-329.405;3.468.071;0;0;0;0;0;729.573;146.863;170.050;12.591.082;0;12.591.082
BBM;30207;b1;;C;2;SALVADOR;BA;12/2005;34.534;366.935;7.376.687;1.091.776;-17.737;1.074.038;0;0;0;0;0;1.832.995;17.862;150.530;10.853.581;0;10.853.581
CREDIT SUISSE;30771;b1;;C;3;SAO PAULO;SP;12/2005;491.782;3.222.848;4.912.337;245.127;-1.239;243.887;0;0;0;0;0;904.166;731;65.143;9.840.895;0;9.840.895
FIBRA;49951;b1;;C;2;SAO PAULO;SP;12/2005;19.358;6.924.011;550.941;1.454.290;-31.629;1.422.661;11;19.054;18.312;-26;37.351;408.903;11.314;73.297;9.447.837;18.312;9.429.524
ALFA;51293;b1;;C;2;SAO PAULO;SP;12/2005;2.415;133.593;3.853.609;4.026.608;-55.113;3.971.495;9.199;296.970;29.326;-3.253;332.242;632.294;171.707;254.332;9.351.688;29.326;9.322.362
JP MORGAN CHASE;20107;b1;;C;3;SAO PAULO;SP;12/2005;1.840;1.092.449;6.758.696;106.360;-211;106.149;0;-134;0;0;-134;1.039.123;22.795;80.799;9.101.718;0;9.101.718
DEUTSCHE;51183;b1;;C;3;SAO PAULO;SP;12/2005;35.362;264.272;4.385.598;212.746;0;212.746;0;0;0;0;0;3.953.131;805;80.419;8.932.333;0;8.932.333
BNP PARIBAS;51516;b1;;C;3;SAO PAULO;SP;12/2005;9.700;1.093.767;1.460.051;2.658.851;-27.305;2.631.547;0;0;0;0;0;1.752.505;11.438;50.995;7.010.002;0;7.010.002
BIC;32119;b1;;C;2;SAO PAULO;SP;12/2005;90.915;89.822;3.535.011;2.288.743;-66.186;2.222.557;-2;-141;118;-8;-34;660.095;131.308;33.935;6.763.609;118;6.763.491
VOLKSWAGEN;30764;b2;;C;3;SAO PAULO;SP;12/2005;21.577;1.976;0;5.145.601;-305.255;4.840.346;9.456;382.649;158.030;-25.401;524.735;330.555;9.655;101.633;5.830.477;158.030;5.672.447
BANCO DA AMAZONIA S.A.;4902979;b1;;I;1;BELEM;PA;12/2005;27.961;0;2.728.160;839.153;-84.600;754.553;0;0;0;0;0;578.322;118.332;232.277;4.439.604;0;4.439.604
BANESTES;30159;b1;;C;1;VITORIA;ES;12/2005;44.548;1.341.468;980.255;1.000.179;-117.271;882.908;231;56.109;21.703;-923;77.120;305.895;690.034;102.082;4.424.311;21.703;4.402.608
MERCANTIL DO BRASIL;20152;b1;;C;2;BELO HORIZONTE;MG;12/2005;49.860;980.337;198.929;2.210.436;-157.909;2.052.527;93;28.268;9.877;-110;38.128;506.940;276.980;171.975;4.275.675;9.877;4.265.799
BMG;30290;b1;;C;2;BELO HORIZONTE;MG;12/2005;12.556;1.255.154;500.287;1.845.825;-159.696;1.686.128;282;17.895;5.132;-247;23.062;295.367;131.752;58.492;3.962.798;5.132;3.957.666
BANCO CNH CAPITAL S.A.;2992446;b2;;I;3;CURITIBA;PR;12/2005;4.676;340.623;208.423;3.198.379;-155.517;3.042.862;257;35.914;10.084;-1.142;45.114;102.204;1.822;35.827;3.781.552;10.084;3.771.467
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;;I;1;PORTO ALEGRE;RS;12/2005;564;0;903.989;2.701.467;-196.416;2.505.051;0;0;0;0;0;176.146;560;18.210;3.604.520;0;3.604.520
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;;I;3;SAO PAULO;SP;12/2005;3.204;217.771;2.205.279;853.316;-21.106;832.210;0;0;0;0;0;255.278;185;11.726;3.525.652;0;3.525.652
BANCO GENERAL MOTORS S.A.;59274605;b2;;I;3;SAO PAULO;SP;12/2005;898;98.435;0;2.384.628;-40.588;2.344.041;362;81.232;33.802;-606;114.791;464.489;86.882;89.201;3.198.737;33.802;3.164.935
ABC-BRASIL;41856;b1;;C;3;SAO PAULO;SP;12/2005;10.411;93.532;570.472;1.861.541;-21.517;1.840.024;0;0;0;0;0;340.367;3.540;11.478;2.869.824;0;2.869.824
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;;I;2;PORTO ALEGRE;RS;12/2005;3.777;1.503.745;105.209;1.117.824;-427;1.117.397;0;0;0;0;0;47.960;24.196;44.713;2.846.997;0;2.846.997
BANCO DO ESTADO DE SANTA CATARINA S.A.;83876003;b1;;I;1;FLORIANOPOLIS;SC;12/2005;48.074;203.053;1.982.648;222.233;-11.562;210.671;0;0;0;0;0;134.123;163.473;92.375;2.834.417;0;2.834.417
BANCO IBI S.A. - BANCO MÚLTIPLO;4184779;b1;;I;3;BARUERI;SP;12/2005;1.611;148.975;273.854;1.534.763;-376.867;1.157.896;0;0;0;0;0;1.126.654;34.075;68.224;2.811.289;0;2.811.289
SS;31323;b1;;C;2;SAO PAULO;SP;12/2005;2.275;114.803;156.225;1.524.053;-176.882;1.347.170;5.187;508.069;198.487;-13.572;698.171;404.803;129.425;99.299;2.952.171;198.487;2.753.684
DAIMLERCHRYSLER;51262;b2;;C;3;SAO PAULO;SP;12/2005;4.522;0;1.303;2.227.162;-41.051;2.186.111;2.708;448.273;66.146;-6.280;510.846;80.303;9.041;19.749;2.811.876;66.146;2.745.730
BANCO COOPERATIVO DO BRASIL S.A. - BANCOOB;2038232;b1;;I;2;BRASILIA;DF;12/2005;86;677.527;1.087.043;732.388;-2.880;729.508;0;0;0;0;0;33.585;23.545;39.287;2.590.579;0;2.590.579
