Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Física;Empréstimo com Consignação em Folha;;;;;;;;Empréstimo sem Consignação em Folha;;;;;;;;Veículos;;;;;;;;Habitação;;;;;;;;Cartão de Crédito;;;;;;;;Rural e Agroindustrial;;;;;;;;Outros Créditos;;;;;;;;Total Exterior Pessoa Física;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 dias;A Vencer Entre 1801 a 5400 Dias;A Vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;09/2013;325.104.626;5.264.878;5.067.035;7.226.228;14.960.470;8.009.050;2.426.442;0;42.954.104;1.584.071;1.149.535;1.970.056;2.555.922;306.954;464;0;7.567.003;481.426;885.180;1.767.422;3.043.390;636.373;607;0;6.814.397;1.381.043;9.186.515;23.250.839;59.867.535;55.342.233;90.736.183;5.541.994;245.306.341;675.240;5.355.925;1.302.372;58.179;240;0;0;7.391.956;719;126.072;227.649;6.843;4.507;1.806;0;367.595;1.703.485;4.127.810;3.665.512;3.699.037;1.312.834;172.016;22.538;14.703.231;0
BB;49.906;b1;C;1;;199;BRASILIA;DF;09/2013;219.377.918;229.820;3.880.976;10.834.244;21.907.066;10.678.564;3.864.054;0;51.394.723;423.218;2.893.139;7.547.155;9.278.163;3.638.522;1.323.853;0;25.104.050;45.809;1.297.736;3.453.190;5.325.969;1.117.710;0;0;11.240.413;3.528;267.765;626.171;1.643.816;1.584.463;6.751.544;4.801.024;15.678.310;1.071.458;14.646.897;2.273.141;8.840;14;0;0;18.000.350;897.021;10.655.165;27.209.549;21.597.778;13.448.097;14.451.387;915.077;89.174.075;276.496;1.234.686;3.118.399;925.828;401.422;316.198;27;6.273.055;2.512.941
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;09/2013;165.412.649;103.002;1.505.715;3.832.042;7.741.815;3.604.693;22.785;0;16.810.052;314.780;2.332.014;4.418.524;4.324.118;410.322;148.430;0;11.948.187;1.289.605;5.189.719;12.965.336;20.735.304;2.427.854;4.958;0;42.612.775;44.516;449.725;1.356.346;2.571.544;2.357.408;8.696.527;7.039.765;22.515.831;3.768.717;30.236.166;10.026.306;143.276;5;0;0;44.174.470;2.830;44.669;77.849;94.501;70.980;84.971;0;375.800;1.185.821;5.210.084;2.647.647;4.258.073;1.027.888;23.359;0;14.352.871;12.622.664
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;09/2013;123.076.267;138.060;2.471.903;6.618.154;10.720.546;3.860.919;522.133;0;24.331.715;640.829;4.187.586;5.245.426;3.984.035;562.091;164.133;27;14.784.127;555.960;3.874.228;9.434.167;12.087.037;1.317.849;4.694;5;27.273.940;33.431;220.197;596.972;1.518.662;1.378.798;4.922.956;3.287.132;11.958.148;2.878.894;12.923.440;5.271.114;122.925;936;4;0;21.197.314;100.596;2.156.660;4.848.281;3.940.510;1.620.653;801.890;0;13.468.591;988.686;4.685.331;1.766.099;1.677.783;454.368;195.678;10.388;9.778.332;284.101
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;09/2013;117.960.197;579.529;1.452.166;3.688.767;5.725.778;1.903.666;397.813;6.017;13.753.737;972.459;1.425.949;3.207.885;4.705.109;996.911;88.662;1.651;11.398.624;618.229;4.476.287;10.950.362;15.157.756;1.933.803;6.882;4.678;33.147.997;24.557;634.112;1.465.544;3.070.511;2.220.926;5.147.924;1.836.115;14.399.689;1.315.703;11.296.923;2.335.837;442.370;148.685;34.731;2.581;15.576.830;28.834;756.186;967.924;749.597;209.736;128.444;0;2.840.719;1.828.028;5.116.225;2.579.585;3.010.091;1.192.728;348.051;5.061;14.079.770;12.762.832
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;09/2013;40.375.895;159.918;1.024.816;2.557.474;3.663.215;756.442;769;0;8.162.634;3.457;13.039;39.472;9.515;526;6;0;66.015;965.914;4.592.092;10.845.087;13.835.700;1.409.768;550;5.969;31.655.079;0;0;0;0;0;0;0;0;120.185;115.319;26.892;28;0;0;0;262.424;1.902;5.255;13.114;26.184;33.401;48.577;0;128.432;3.224;19.257;36.911;25.974;13.229;2.715;0;101.311;0
BMG;30.290;b1;C;2;;199;SAO PAULO;SP;09/2013;19.980.889;197.704;1.876.036;4.927.109;7.917.447;2.581.656;238.499;84;17.738.535;14.831;4.740;7.804;9.739;601;32;0;37.746;49.181;159.560;342.709;266.176;16.279;0;0;833.904;0;6;20;69;92;306;0;493;146.598;1.058.278;0;0;0;0;0;1.204.876;0;0;0;0;0;0;0;0;3.187;20.641;56.321;76.282;8.885;18;0;165.335;0
HSBC;51.152;b1;C;3;;199;CURITIBA;PR;09/2013;19.700.890;8.533;91.315;245.724;412.422;81.980;2.710;112;842.796;590.183;1.483.870;2.113.451;1.184.653;69.202;3;5.971;5.447.333;63.479;419.542;1.043.818;1.440.233;182.545;290;0;3.149.907;5.611;79.271;189.441;481.139;253.962;1.911.145;1.071.009;3.991.579;344.460;2.396.281;345.204;1.226;0;0;153;3.087.325;19.764;283.076;899.719;542.165;75;0;0;1.744.798;174.212;549.376;603.187;43.525;16.437;32.302;18.112;1.437.151;0
CITIBANK;30.403;b1;C;3;;199;SAO PAULO;SP;09/2013;12.838.538;13.952;64.688;159.343;272.473;63.563;506;0;574.524;91.398;244.276;558.755;992.469;123.297;39;0;2.010.234;1.944;7.665;21.749;26.854;4.481;8;0;62.700;567;9.963;23.740;61.246;56.189;205.670;141.646;499.023;822.138;6.539.477;1.544.838;345.579;361;0;0;9.252.393;0;0;56.393;0;0;0;0;56.393;53.905;203.913;68.016;57.288;32;0;116;383.271;0
BANRISUL;30.173;b1;C;1;;199;PORTO ALEGRE;RS;09/2013;12.392.683;42.509;588.708;1.617.359;2.983.297;1.112.204;116.957;420;6.461.454;38.327;523.412;381.149;202.723;15.248;32.286;3;1.193.148;779;22.007;60.164;95.636;18.190;163;0;196.939;1.494;32.695;91.362;251.295;226.488;826.985;542.495;1.972.813;28.359;45.966;9.448;2.135;0;0;0;85.909;23.855;98.375;490.184;234.892;153.874;223.415;0;1.224.596;107.061;615.233;185.742;204.861;88.731;55.933;263;1.257.825;0
